requirement_id	instruction_quote	raw_artefact	expected	observed	pass_fail
G1	os.environ in src MUST be 0 + bespoke=0	raw/g3-ut-full.log	0	0	PASS
G3-UT	pytest UT green 0 skips foreground	raw/g3-ut-full.log	green 0-skip	177 passed 0 failed 0 skipped	PASS
QT-baseline	no QT regression introduced	raw/g3-qt-preexisting-baseline.txt	identical	5 failed 53 passed both with and without change	PASS
G4	docker-build.sh succeeds	raw/g4-build-2.log	Build OK	image sha256:a787ea01 built tagged	PASS
G5-image	feature in BUILT image	raw/g5-local-docker-smoke.log	markers present	BlueRiverChair x2 runtime AUTH_MODE cookie idam 0.5.0	PASS
G5-login	local 3-role login + read-only 403	raw/g5-local-docker-smoke.log	3x200 ro=403	admin/read-write/read-only=200 read-only write 403 anon 401	PASS
G6	image pushed source on origin main	raw/g6-pushed-digest.txt	digest+origin	sha256:30288f97 origin/main e486098	PASS
G7-deploy	terraform apply -target preprod health 200	current/W28A-731-R5-CLOSE-REPORT.md	health 200	2 added 0 changed 2 destroyed health 200	PASS
G7-login-live	live 3-role username password login	raw/g7-live-functional.log	3x200	admin/read-write/read-only=200 correct roles anon user null	PASS
G7-readonly-403	read-only 403 every write path no bypass	raw/g7-live-readonly-403.log	ro=403 no 2xx	read-only 403 on profiles api-keys users roles git_commit git_push	PASS
AUTH_MODE-live	deployed bundle advertises cookie login	raw/g8-run.log	cookie	live runtime-config AUTH_MODE cookie	PASS
G8-anon	browser anon renders username password no api-key field	screenshots/01-anon-login-box.png	login form	test passed loginUsername+loginPassword visible api-key count 0	PASS
G8-roles	browser 3 roles log in user pass	g8-junit.xml	6 passed	6 passed 0 failed	PASS
G8-rbac	read-only write 403 read-write not 403 in browser	screenshots/05-read-only-write-403-diff.png	ro=403 rw!=403	read-only write 403 read-write write not 403	PASS
G8-sentinels	4 sentinel regression render	raw/sentinels-run.log	4 passed	4 passed chat expert notify file render no errors	PASS
uniqueness	unique screenshots no dup md5	current/W28A-731-R5-CLOSE-REPORT.md	0 dup	0 duplicate md5 across 6 login + 4 sentinel	PASS
backend-unchanged	backend auth contract unchanged	raw/g7-live-functional.log	api_key 400	api_key body still 400	PASS
GATE0	mandatory reading warrant	00-reading-proof.md	re-read this session	RULES 1192/1e04c26f8f81 + 5 more files	PASS
